epoch|accuracy|loss|val_accuracy|val_loss
0|0.394058|1.7007196176054213|0.4724|1.4839095828056335
1|0.52306086|1.3200055590050859|0.5862|1.1745022654533386
2|0.5996264|1.1255261034457376|0.6432|1.0046522814750671
3|0.64899486|0.9958533503962166|0.6586|0.9588597080230713
4|0.6863325|0.8969478676315304|0.6782|0.9808424802780151
5|0.7110612|0.8266166537878161|0.7278|0.8039647420883179
6|0.73218733|0.7641947480457743|0.7188|0.8395406869411468
7|0.7452855|0.7334556838961772|0.754|0.7218552144050598
8|0.75991815|0.6897235386228672|0.7598|0.7267307034492493
9|0.77079254|0.6580750867790693|0.7872|0.6427732717514039
10|0.7808664|0.6288423723140405|0.7956|0.6007716893196106
11|0.78933907|0.6058525086891352|0.8054|0.5652197956085205
12|0.799235|0.5835503383455614|0.8142|0.5535914121627807
13|0.80159223|0.5688367517917866|0.8128|0.5571232302665711
14|0.8098203|0.5451211036683147|0.8204|0.5314795495510102
15|0.8174257|0.5283050820923344|0.8272|0.5081557490110398
16|0.8222736|0.5172847657520944|0.8192|0.5463920683860779
17|0.82343|0.5026488355567205|0.8402|0.4720701245546341
18|0.82656556|0.49385107445284215|0.8352|0.5134016167879104
19|0.8348603|0.4764183428184224|0.8444|0.4596007405757904
20|0.8374844|0.4676040407814307|0.831|0.4975205263376236
21|0.8409536|0.4588993077991993|0.8452|0.4776189468383789
22|0.84282154|0.44892413743215404|0.8516|0.45030368213653565
23|0.8463574|0.44295868716021913|0.8438|0.4649883160114288
24|0.8482032|0.4315761834664015|0.8468|0.46145729389190676
25|0.8515611|0.4233765163454079|0.853|0.4395176428794861
26|0.85543054|0.4128884518911058|0.8432|0.47390341823101045
27|0.8582325|0.404811401623988|0.843|0.47946118607521054
28|0.8605008|0.39669752035610106|0.8556|0.4360100469350815
29|0.8646371|0.39154471440170824|0.842|0.48139055924415586
30|0.8656378|0.38398490474224517|0.8608|0.43604195125102996
31|0.87024105|0.3748781111099991|0.8574|0.4312919040441513
32|0.86761695|0.37601479762305867|0.857|0.4315032027244568
33|0.87279844|0.36163957354448123|0.8408|0.5091364476442337
34|0.8734211|0.3624424622950022|0.8626|0.42688606078624725
35|0.8746442|0.35901948871126466|0.8644|0.4196346190929413
36|0.8767123|0.3545733768134392|0.8536|0.4401769119262695
37|0.87766856|0.34811748529117825|0.8616|0.42447417736053467
38|0.87975895|0.34412690448900957|0.8472|0.47035135231018066
39|0.88158244|0.3379413030459732|0.8688|0.40541105184555054
40|0.8845846|0.33178318404171564|0.8628|0.43205639828443526
41|0.8843622|0.3301046346774031|0.8534|0.4394443661928177
42|0.8849404|0.32895977334383647|0.861|0.4343859081506729
43|0.89103365|0.31358732782295007|0.8678|0.42072550036907197
44|0.88916564|0.31208382334558166|0.8654|0.4207940150976181
45|0.89999557|0.28480986118040946|0.8826|0.3681289258956909
46|0.90350914|0.27680647276703774|0.8794|0.38440884165763856
47|0.9072007|0.26486661494987074|0.8852|0.3825912880897522
48|0.90840155|0.2592602499549106|0.8822|0.37729660551548005
49|0.90931326|0.2622593970791372|0.876|0.3955356816530228
